"ANO","DIADASEMANA","DIADOANO","DIADOMES","HUMOR","MES"
"2022","TUESDAY","95","5","OK","APRIL"
"2022","WEDNESDAY","96","6","OK","APRIL"
"2022","THURSDAY","97","7","OK","APRIL"
"2022","FRIDAY","98","8","OK","APRIL"
"2022","SATURDAY","99","9","CANSATIVO","APRIL"
"2022","SUNDAY","100","10","FELIZ","APRIL"
"2022","MONDAY","101","11","OK","APRIL"
"2022","TUESDAY","102","12","FELIZ","APRIL"
"2022","WEDNESDAY","103","13","OK","APRIL"
"2022","THURSDAY","104","14","CHEIO","APRIL"
"2022","FRIDAY","105","15","ENTEDIANTE","APRIL"
"2022","SATURDAY","106","16","OK","APRIL"
"2022","SUNDAY","107","17","ENTEDIANTE","APRIL"
"2022","MONDAY","108","18","OK","APRIL"
"2022","TUESDAY","109","19","TRISTE","APRIL"
"2022","WEDNESDAY","110","20","CANSATIVO","APRIL"
"2022","THURSDAY","111","21","CANSATIVO","APRIL"
"2022","FRIDAY","112","22","CANSATIVO","APRIL"
"2022","SATURDAY","113","23","CANSATIVO","APRIL"
"2022","SUNDAY","114","24","CHEIO","APRIL"
"2022","MONDAY","115","25","OK","APRIL"
"2022","TUESDAY","116","26","CANSATIVO","APRIL"
"2022","WEDNESDAY","117","27","CANSATIVO","APRIL"
"2022","THURSDAY","118","28","CANSATIVO","APRIL"
"2022","FRIDAY","119","29","ENTEDIANTE","APRIL"
"2022","SATURDAY","120","30","TRISTE","APRIL"
"2022","SUNDAY","121","1","TRISTE","MAY"
"2022","MONDAY","122","2","CANSATIVO","MAY"
"2022","TUESDAY","123","3","CANSATIVO","MAY"
"2022","WEDNESDAY","124","4","OK","MAY"
"2022","THURSDAY","125","5","ENTEDIANTE","MAY"
"2022","FRIDAY","126","6","OK","MAY"
"2022","SATURDAY","127","7","ENTEDIANTE","MAY"
"2022","SUNDAY","128","8","ENTEDIANTE","MAY"
"2022","MONDAY","129","9","ESTRESSANTE","MAY"
"2022","TUESDAY","130","10","OK","MAY"
"2022","WEDNESDAY","131","11","ENTEDIANTE","MAY"
"2022","THURSDAY","132","12","OK","MAY"
"2022","FRIDAY","133","13","FELIZ","MAY"
"2022","SATURDAY","134","14","FELIZ","MAY"
"2022","SUNDAY","135","15","FELIZ","MAY"
"2022","MONDAY","136","16","FELIZ","MAY"
"2022","TUESDAY","137","17","OK","MAY"
"2022","WEDNESDAY","138","18","ENTEDIANTE","MAY"
"2022","THURSDAY","139","19","OK","MAY"
"2022","FRIDAY","140","20","ENTEDIANTE","MAY"
"2022","SATURDAY","141","21","OK","MAY"
"2022","SUNDAY","142","22","ENTEDIANTE","MAY"
"2022","MONDAY","143","23","OK","MAY"
"2022","TUESDAY","144","24","CHEIO","MAY"
"2022","WEDNESDAY","145","25","FELIZ","MAY"
"2022","THURSDAY","146","26","ENTEDIANTE","MAY"
"2022","FRIDAY","147","27","CHEIO","MAY"
"2022","SATURDAY","148","28","FELIZ","MAY"
"2022","SUNDAY","149","29","CANSATIVO","MAY"
"2022","MONDAY","150","30","CANSATIVO","MAY"
"2022","TUESDAY","151","31","OK","MAY"
"2022","WEDNESDAY","152","1","CANSATIVO","JUNE"
"2022","THURSDAY","153","2","FELIZ","JUNE"
"2022","FRIDAY","154","3","ENTEDIANTE","JUNE"
"2022","SATURDAY","155","4","OK","JUNE"
"2022","SUNDAY","156","5","FELIZ","JUNE"
"2022","MONDAY","157","6","OK","JUNE"
"2022","TUESDAY","158","7","FELIZ","JUNE"
"2022","WEDNESDAY","159","8","ENTEDIANTE","JUNE"
"2022","THURSDAY","160","9","CANSATIVO","JUNE"
"2022","FRIDAY","161","10","OK","JUNE"
"2022","SATURDAY","162","11","OK","JUNE"
"2022","SUNDAY","163","12","ENTEDIANTE","JUNE"
"2022","MONDAY","164","13","OK","JUNE"
"2022","TUESDAY","165","14","FELIZ","JUNE"
"2022","WEDNESDAY","166","15","FELIZ","JUNE"
"2022","THURSDAY","167","16","OK","JUNE"
"2022","FRIDAY","168","17","ESTRESSANTE","JUNE"
"2022","SATURDAY","169","18","FELIZ","JUNE"
"2022","SUNDAY","170","19","FELIZ","JUNE"
"2022","MONDAY","171","20","ENTEDIANTE","JUNE"
"2022","TUESDAY","172","21","ENTEDIANTE","JUNE"
"2022","WEDNESDAY","173","22","OK","JUNE"
"2022","THURSDAY","174","23","CANSATIVO","JUNE"
"2022","FRIDAY","175","24","OK","JUNE"
"2022","SATURDAY","176","25","ENTEDIANTE","JUNE"
"2022","SUNDAY","177","26","OK","JUNE"
"2022","MONDAY","178","27","FELIZ","JUNE"
"2022","TUESDAY","179","28","FELIZ","JUNE"
"2022","WEDNESDAY","180","29","CANSATIVO","JUNE"
"2022","THURSDAY","181","30","CANSATIVO","JUNE"
"2022","FRIDAY","182","1","OK","JULY"
"2022","SATURDAY","183","2","FELIZ","JULY"
"2022","SUNDAY","184","3","ENTEDIANTE","JULY"
"2022","MONDAY","185","4","ENTEDIANTE","JULY"
"2022","TUESDAY","186","5","OK","JULY"
"2022","WEDNESDAY","187","6","OK","JULY"
"2022","THURSDAY","188","7","ENTEDIANTE","JULY"
"2022","FRIDAY","189","8","ESTRESSANTE","JULY"
"2022","SATURDAY","190","9","OK","JULY"
"2022","SUNDAY","191","10","OK","JULY"
"2022","MONDAY","192","11","OK","JULY"
"2022","TUESDAY","193","12","FELIZ","JULY"
"2022","WEDNESDAY","194","13","FELIZ","JULY"
"2022","THURSDAY","195","14","ENTEDIANTE","JULY"
"2022","FRIDAY","196","15","FELIZ","JULY"
"2022","SATURDAY","197","16","FELIZ","JULY"
"2022","SUNDAY","198","17","ENTEDIANTE","JULY"
"2022","MONDAY","199","18","FELIZ","JULY"
"2022","TUESDAY","200","19","OK","JULY"
"2022","WEDNESDAY","201","20","ENTEDIANTE","JULY"
"2022","THURSDAY","202","21","OK","JULY"
"2022","FRIDAY","203","22","CANSATIVO","JULY"
"2022","SATURDAY","204","23","FELIZ","JULY"
"2022","SUNDAY","205","24","OK","JULY"
"2022","MONDAY","206","25","FELIZ","JULY"
"2022","TUESDAY","207","26","FELIZ","JULY"
"2022","WEDNESDAY","208","27","OK","JULY"
"2022","THURSDAY","209","28","OK","JULY"
"2022","FRIDAY","210","29","OK","JULY"
"2022","SATURDAY","211","30","FELIZ","JULY"
"2022","SUNDAY","212","31","FELIZ","JULY"
"2022","MONDAY","213","1","FELIZ","AUGUST"
"2022","TUESDAY","214","2","OK","AUGUST"
"2022","WEDNESDAY","215","3","ENTEDIANTE","AUGUST"
"2022","THURSDAY","216","4","FELIZ","AUGUST"
"2022","FRIDAY","217","5","OK","AUGUST"
"2022","SATURDAY","218","6","ENTEDIANTE","AUGUST"
"2022","SUNDAY","219","7","FELIZ","AUGUST"
"2022","MONDAY","220","8","OK","AUGUST"
"2022","TUESDAY","221","9","FELIZ","AUGUST"
"2022","WEDNESDAY","222","10","ESTRESSANTE","AUGUST"
"2022","THURSDAY","223","11","OK","AUGUST"
"2022","FRIDAY","224","12","FELIZ","AUGUST"
"2022","SATURDAY","225","13","FELIZ","AUGUST"
"2022","SUNDAY","226","14","OK","AUGUST"
"2022","MONDAY","227","15","CHEIO","AUGUST"
"2022","TUESDAY","228","16","CANSATIVO","AUGUST"
"2022","WEDNESDAY","229","17","CANSATIVO","AUGUST"
"2022","THURSDAY","230","18","FELIZ","AUGUST"
"2022","FRIDAY","231","19","FELIZ","AUGUST"
"2022","SATURDAY","232","20","FELIZ","AUGUST"
"2022","SUNDAY","233","21","ENTEDIANTE","AUGUST"
"2022","MONDAY","234","22","TRISTE","AUGUST"
"2022","TUESDAY","235","23","TRISTE","AUGUST"
"2022","WEDNESDAY","236","24","TRISTE","AUGUST"
"2022","THURSDAY","237","25","FELIZ","AUGUST"
"2022","FRIDAY","238","26","FELIZ","AUGUST"
"2022","SATURDAY","239","27","FELIZ","AUGUST"
"2022","SUNDAY","240","28","FELIZ","AUGUST"
"2022","MONDAY","241","29","FELIZ","AUGUST"
"2022","TUESDAY","242","30","FELIZ","AUGUST"
"2022","WEDNESDAY","243","31","FELIZ","AUGUST"
"2022","THURSDAY","244","1","OK","SEPTEMBER"
"2022","FRIDAY","245","2","FELIZ","SEPTEMBER"
"2022","SATURDAY","246","3","OK","SEPTEMBER"
"2022","SUNDAY","247","4","ENTEDIANTE","SEPTEMBER"
"2022","MONDAY","248","5","FELIZ","SEPTEMBER"
"2022","TUESDAY","249","6","OK","SEPTEMBER"
"2022","WEDNESDAY","250","7","OK","SEPTEMBER"
"2022","THURSDAY","251","8","OK","SEPTEMBER"
"2022","FRIDAY","252","9","FELIZ","SEPTEMBER"
"2022","SATURDAY","253","10","FELIZ","SEPTEMBER"
"2022","SUNDAY","254","11","ENTEDIANTE","SEPTEMBER"
"2022","MONDAY","255","12","CHEIO","SEPTEMBER"
"2022","TUESDAY","256","13","ENTEDIANTE","SEPTEMBER"
"2022","WEDNESDAY","257","14","CANSATIVO","SEPTEMBER"
"2022","THURSDAY","258","15","OK","SEPTEMBER"
"2022","FRIDAY","259","16","FELIZ","SEPTEMBER"
"2022","SATURDAY","260","17","FELIZ","SEPTEMBER"
"2022","SUNDAY","261","18","FELIZ","SEPTEMBER"
"2022","MONDAY","262","19","ENTEDIANTE","SEPTEMBER"
"2022","TUESDAY","263","20","FELIZ","SEPTEMBER"
"2022","WEDNESDAY","264","21","OK","SEPTEMBER"
"2022","THURSDAY","265","22","OK","SEPTEMBER"
"2022","FRIDAY","266","23","OK","SEPTEMBER"
"2022","SATURDAY","267","24","OK","SEPTEMBER"
"2022","SUNDAY","268","25","ENTEDIANTE","SEPTEMBER"
"2022","MONDAY","269","26","OK","SEPTEMBER"
"2022","TUESDAY","270","27","FELIZ","SEPTEMBER"
"2022","WEDNESDAY","271","28","OK","SEPTEMBER"
"2022","THURSDAY","272","29","CHEIO","SEPTEMBER"
"2022","FRIDAY","273","30","OK","SEPTEMBER"
"2022","SATURDAY","274","1","FELIZ","OCTOBER"
"2022","SUNDAY","275","2","FELIZ","OCTOBER"
"2022","MONDAY","276","3","OK","OCTOBER"
"2022","TUESDAY","277","4","FELIZ","OCTOBER"
"2022","WEDNESDAY","278","5","FELIZ","OCTOBER"
"2022","THURSDAY","279","6","FELIZ","OCTOBER"
"2022","FRIDAY","280","7","CANSATIVO","OCTOBER"
"2022","SATURDAY","281","8","FELIZ","OCTOBER"
"2022","SUNDAY","282","9","ESTRESSANTE","OCTOBER"
"2022","MONDAY","283","10","OK","OCTOBER"
"2022","TUESDAY","284","11","FELIZ","OCTOBER"
"2022","WEDNESDAY","285","12","FELIZ","OCTOBER"
"2022","THURSDAY","286","13","OK","OCTOBER"
"2022","FRIDAY","287","14","FELIZ","OCTOBER"
"2022","SATURDAY","288","15","FELIZ","OCTOBER"
"2022","SUNDAY","289","16","FELIZ","OCTOBER"
"2022","MONDAY","290","17","ENTEDIANTE","OCTOBER"
"2022","TUESDAY","291","18","FELIZ","OCTOBER"
"2022","WEDNESDAY","292","19","FELIZ","OCTOBER"
"2022","THURSDAY","293","20","FELIZ","OCTOBER"
"2022","FRIDAY","294","21","OK","OCTOBER"
"2022","SATURDAY","295","22","FELIZ","OCTOBER"
"2022","SUNDAY","296","23","FELIZ","OCTOBER"
"2022","MONDAY","297","24","OK","OCTOBER"
"2022","TUESDAY","298","25","FELIZ","OCTOBER"
"2022","WEDNESDAY","299","26","OK","OCTOBER"
"2022","THURSDAY","300","27","FELIZ","OCTOBER"
"2022","FRIDAY","301","28","FELIZ","OCTOBER"
"2022","SATURDAY","302","29","OK","OCTOBER"
"2022","SUNDAY","303","30","FELIZ","OCTOBER"
"2022","MONDAY","304","31","ENTEDIANTE","OCTOBER"
"2022","TUESDAY","305","1","FELIZ","NOVEMBER"
"2022","WEDNESDAY","306","2","FELIZ","NOVEMBER"
"2022","THURSDAY","307","3","CANSATIVO","NOVEMBER"
"2022","FRIDAY","308","4","FELIZ","NOVEMBER"
"2022","SATURDAY","309","5","FELIZ","NOVEMBER"
"2022","SUNDAY","310","6","FELIZ","NOVEMBER"
"2022","MONDAY","311","7","OK","NOVEMBER"
"2022","TUESDAY","312","8","FELIZ","NOVEMBER"
"2022","WEDNESDAY","313","9","OK","NOVEMBER"
"2022","THURSDAY","314","10","OK","NOVEMBER"
"2022","FRIDAY","315","11","FELIZ","NOVEMBER"
"2022","SATURDAY","316","12","ESTRESSANTE","NOVEMBER"
"2022","SUNDAY","317","13","ESTRESSANTE","NOVEMBER"
"2022","MONDAY","318","14","FELIZ","NOVEMBER"
"2022","TUESDAY","319","15","FELIZ","NOVEMBER"
"2022","WEDNESDAY","320","16","OK","NOVEMBER"
"2022","THURSDAY","321","17","OK","NOVEMBER"
"2022","FRIDAY","322","18","FELIZ","NOVEMBER"
"2022","SATURDAY","323","19","ENTEDIANTE","NOVEMBER"
"2022","SUNDAY","324","20","FELIZ","NOVEMBER"
"2022","MONDAY","325","21","OK","NOVEMBER"
"2022","TUESDAY","326","22","FELIZ","NOVEMBER"
"2022","WEDNESDAY","327","23","OK","NOVEMBER"
"2022","THURSDAY","328","24","FELIZ","NOVEMBER"
"2022","FRIDAY","329","25","OK","NOVEMBER"
"2022","SATURDAY","330","26","OK","NOVEMBER"
"2022","SUNDAY","331","27","FELIZ","NOVEMBER"
"2022","MONDAY","332","28","TRISTE","NOVEMBER"
"2022","TUESDAY","333","29","ENTEDIANTE","NOVEMBER"
"2022","WEDNESDAY","334","30","FELIZ","NOVEMBER"
"2022","THURSDAY","335","1","OK","DECEMBER"
"2022","FRIDAY","336","2","FELIZ","DECEMBER"
"2022","SATURDAY","337","3","FELIZ","DECEMBER"
"2022","SUNDAY","338","4","FELIZ","DECEMBER"
"2022","MONDAY","339","5","FELIZ","DECEMBER"
"2022","TUESDAY","340","6","OK","DECEMBER"
"2022","WEDNESDAY","341","7","OK","DECEMBER"
"2022","THURSDAY","342","8","OK","DECEMBER"
"2022","FRIDAY","343","9","TRISTE","DECEMBER"
"2022","SATURDAY","344","10","FELIZ","DECEMBER"
"2022","SUNDAY","345","11","ENTEDIANTE","DECEMBER"
"2022","MONDAY","346","12","TRISTE","DECEMBER"
"2022","TUESDAY","347","13","CANSATIVO","DECEMBER"
"2022","WEDNESDAY","348","14","CANSATIVO","DECEMBER"
"2022","THURSDAY","349","15","CANSATIVO","DECEMBER"
"2022","FRIDAY","350","16","FELIZ","DECEMBER"
"2022","SATURDAY","351","17","FELIZ","DECEMBER"
"2022","SUNDAY","352","18","FELIZ","DECEMBER"
"2022","MONDAY","353","19","CANSATIVO","DECEMBER"
"2022","TUESDAY","354","20","CANSATIVO","DECEMBER"
"2022","WEDNESDAY","355","21","CANSATIVO","DECEMBER"
"2022","THURSDAY","356","22","CANSATIVO","DECEMBER"
"2022","FRIDAY","357","23","CANSATIVO","DECEMBER"
"2022","SATURDAY","358","24","FELIZ","DECEMBER"
"2022","SUNDAY","359","25","FELIZ","DECEMBER"
"2022","MONDAY","360","26","CANSATIVO","DECEMBER"
"2022","TUESDAY","361","27","CANSATIVO","DECEMBER"
"2022","WEDNESDAY","362","28","CANSATIVO","DECEMBER"
"2022","THURSDAY","363","29","CANSATIVO","DECEMBER"
"2022","FRIDAY","364","30","CANSATIVO","DECEMBER"
"2022","SATURDAY","365","31","FELIZ","DECEMBER"
